Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
blood is thicker than water,"When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , family relations and bonds are closer than other relationships .","When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , blood is thicker than water .",relations | bonds are closer | other relationships,blood is thicker | water,"[(26, 27), (28, 31), (32, 34)]","[(25, 28), (29, 30)]",3
come of age,"After years of experimentation with colors and strokes , his painting has reached maturity .","After years of experimentation with colors and strokes , his painting has come of age .",reached maturity,come | age,"[(12, 14)]","[(12, 13), (14, 15)]",2
all and sundry,I do n't want everyone to come to know about our differences .,I do n't want all and sundry to come to know about our differences .,everyone,all and sundry,"[(4, 5)]","[(4, 7)]",1
cup of joe,"When I wake up in the morning , the first thing I do is make myself a cup of coffee .","When I wake up in the morning , the first thing I do is make myself a cup of joe .",coffee,joe,"[(19, 20)]","[(19, 20)]",1
done for,"The deal is dead , I am not going to speak with that man again .",The deal is done for I am not going to speak with that man again .,"dead ,",done for,"[(3, 5)]","[(3, 5)]",1
in a bad way,The teacher did not mean it in a mean way but the student felt insulted at being asked to explain anyway .,The teacher did not mean it in a bad way but the student felt insulted at being asked to explain anyway .,,bad,[],"[(8, 9)]",1
take turns,"I understand that everybody wants to try driving , but you will have to go one at a time .","I understand that everybody wants to try driving , but you will have to take turns .",go one at a time,take turns,"[(14, 19)]","[(14, 16)]",1
acid test,"He played well in the last match , but a decisive test will come when the team plays the stronger opponents .","He played well in the last match , but the acid test will come when the team plays the stronger opponents .",a decisive,acid,"[(9, 11)]","[(10, 11)]",1
bad-mouth,The social parties in this area are just meant for old ladies to gather around and talk poorly about everyone who did not show up .,The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up .,talk poorly about,bad-mouth,"[(16, 19)]","[(16, 17)]",1
on doorstep,The best thing about having a house in this society is that all the popular eating joints are very close to us .,The best thing about having a house in this society is that all the popular eating joints are right at our doorstep .,very close to us,right at our doorstep,"[(18, 22)]","[(18, 22)]",1
take stock,"Before deciding on which job to take , Peter has decided to think about the situation in order to make an informed decision on which choice would be best for him and his family .","Before deciding on which job to take , Peter has decided to take stock in order to make an informed decision on which choice would be best for him and his family .",think about the situation,stock,"[(12, 16)]","[(13, 14)]",1
cave in,The building collapsed by itself after being erect for almost 70 years .,The building caved in by itself after being erect for almost 70 years .,collapsed,caved in,"[(2, 3)]","[(2, 4)]",1
bundle up,It is important to dress warmly before you go out to keep from getting cold .,It is important to bundle up before you go out to keep from getting cold .,dress warmly,bundle up,"[(4, 6)]","[(4, 6)]",1
alive and kicking,She had n't met her younger sister after her marriage and was delighted to see her lively and active at a social event last weekend .,She had n't met her younger sister after her marriage and was delighted to see her alive and kicking at a social event last weekend .,lively | active,alive | kicking,"[(16, 17), (18, 19)]","[(16, 17), (18, 19)]",2
pull a rabbit out of the hat,"The team was losing till almost the end , but suddenly , it pulled off something spectacular and won the contest in the dying minutes .","The team was losing till almost the end , but suddenly , it pulled a rabbit out of its hat and won the contest in the dying minutes .",off something spectacular,a rabbit out of its hat,"[(14, 17)]","[(14, 20)]",1
touch off,The presentation brought up an important topic and I would like to spend some time talking about it .,The presentation touched off a very important point and I would like to spend some time talking about it .,brought up an | topic,touched off a very | point,"[(2, 5), (6, 7)]","[(2, 6), (7, 8)]",2
head above water,I have to work 60 hours a week just to succeed to survive and I do n't know how people do it .,I have to work 60 hours a week just to keep my head above water and I do n't know how people do it .,succeed | survive,keep my head above water,"[(10, 11), (12, 13)]","[(10, 15)]",2
playing second fiddle,Sheila was determined to be the star of the show and she was not going to be second to anyone .,Sheila was determined to be the star of the show and she was not going to play second fiddle to anyone .,,play | fiddle,[],"[(16, 17), (18, 19)]",2
bread and butter,"The person depends on you for his livelihood , how can you be so thoughtless ?","The person depends on you for his bread and butter , how can you be so thoughtless ?",livelihood,bread and butter,"[(7, 8)]","[(7, 10)]",1
dribs and drabs,The checks for the charity are coming in small amounts irregularly .,The checks for the charity are coming in dribs and drabs .,small amounts irregularly,dribs and drabs,"[(8, 11)]","[(8, 11)]",1
there's no such thing as a free lunch,There is no such thing as anything for free .,There is no such thing as a free lunch .,anything for,a | lunch,"[(6, 8)]","[(6, 7), (8, 9)]",2
up and about,He was active within a few days of the operation .,He was up and about within a few days of the operation .,active,up and about,"[(2, 3)]","[(2, 5)]",1
button your lip,`` His continuous talking makes me wish he could be quiet . '',`` His continuous talking makes me wish he could button his lip . '',be quiet,button his lip,"[(9, 11)]","[(9, 12)]",1
time will tell,"I do n't think that he studied for his test , even though he says he did and the question will only be answered at a later date .","I do n't think that he studied for his test , even though he says he did and only time will tell .",the question | be answered at a later date,time | tell,"[(18, 20), (22, 28)]","[(19, 20), (21, 22)]",2
right away,I promise to complete my homework as soon as I can .,I promise to complete my homework right away .,as soon as | can,right away,"[(6, 9), (10, 11)]","[(6, 8)]",2
black sheep,I have always been the a disgrace to my family and Everyone else has responsible jobs while I have chosen to be an artist .,I have always been the black sheep of my family and Everyone else has responsible jobs while I have chosen to be an artist .,a disgrace,black sheep of,"[(5, 7)]","[(5, 8)]",1
toss-up,"In the end , it was a fifty-fifty between having the most experienced players and having a youthful team full of raw energy .","In the end , it was a toss-up between having the most experienced players and having a youthful team full of raw energy .",fifty-fifty,toss-up,"[(7, 8)]","[(7, 8)]",1
bend over backwards,Banks are doing everything they can to provide facilities to the depositors .,Banks are bending over backwards to provide facilities to the depositors .,doing everything they can,bending over backwards,"[(2, 6)]","[(2, 5)]",1
stone's throw,His workplace is very close to his home .,His workplace is a stone 's throw away from his home .,very close to,a stone 's throw away from,"[(3, 6)]","[(3, 9)]",1
take care,Be careful not to cut yourself on that rusty piece of metal .,Take care not to cut yourself on that rusty piece of metal .,Be careful,Take care,"[(0, 2)]","[(0, 2)]",1
back to the wall,They have him in a difficult situation and now he has no more options but to pay back the debtors or go to jail for fraud .,They have him with his back to the wall and now he has no more options but to pay back the debtors or go to jail for fraud .,in a difficult situation,with his | wall,"[(3, 7)]","[(3, 5), (8, 9)]",2
