normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
I can’t believe I forgot my keys at home.,"No cap, I left my keys at home and just realized it now!",can’t believe I forgot | home.,"No cap, | left | home and just realized it now!","[(0, 0), (1, 5), (8, 9)]","[(0, 2), (3, 4), (7, 13)]",2
"Hey, I really like your new haircut!","Yo, your new drip slaps!","Hey, I really like | haircut!","Yo, | drip slaps!","[(0, 4), (6, 7)]","[(0, 1), (3, 5)]",2
I'm just really tired today after a long day at work.,"I'm completely wiped after a crazy long day at work, fr.",just really tired today | work.,"completely wiped | crazy | work, fr.","[(1, 5), (7, 7), (10, 11)]","[(1, 3), (5, 6), (9, 11)]",2
I'm going to grab a coffee before heading to class.,"Gonna snag a latte before hitting up class, fr.",I'm going to grab | coffee | heading to class.,"Gonna snag | latte | hitting up class, fr.","[(0, 4), (5, 6), (7, 10)]","[(0, 2), (3, 4), (5, 9)]",3
I'm really tired because I stayed up late studying.,I'm huge tired 'cause I pulled an all-nighter hitting the books.,really | because | stayed up late studying.,huge | 'cause | pulled an all-nighter hitting the books.,"[(1, 2), (3, 4), (5, 9)]","[(1, 2), (3, 4), (5, 11)]",3
I'm just feeling really tired today and don't want to do anything.,I'm deadass drained today and not tryna do nada.,just feeling really tired | don't want to | anything.,deadass drained | not tryna | nada.,"[(1, 5), (7, 10), (11, 12)]","[(1, 3), (5, 7), (8, 9)]",3
I went to the grocery store to pick up some food.,I hit up the grocery to snag some snacks.,went to | store | pick up | food.,hit up | snag | snacks.,"[(1, 3), (5, 6), (7, 9), (10, 11)]","[(1, 3), (5, 5), (6, 7), (8, 9)]",4
"I'm really tired today, so I might just stay in and relax.","I'm so drained today, might just chill at home and vibe.",really tired | so I | stay in | relax.,so drained | chill at home | vibe.,"[(1, 3), (4, 6), (8, 10), (11, 12)]","[(1, 3), (4, 4), (6, 9), (10, 11)]",4
I'm going to hang out with my friends at the park today.,I'm finna chill with my squad at the park today.,going to hang out | friends,finna chill | squad,"[(1, 5), (7, 8)]","[(1, 3), (5, 6)]",2
I'm just relaxing at home and binge-watching my favorite show.,"I'm just chillin' at home, binge-watching my fave show, fr fr.",relaxing | home and | favorite show.,"chillin' | home, | fave show, fr fr.","[(2, 3), (4, 6), (8, 10)]","[(2, 3), (4, 5), (7, 11)]",3
I think I need to take a break and relax for a bit.,"Bruh, I gotta vibe out and chill for a sec.",think I need to take a break | relax | bit.,"Bruh, | gotta vibe out | chill | sec.","[(0, 0), (1, 8), (9, 10), (12, 13)]","[(0, 1), (2, 5), (6, 7), (9, 10)]",3
I'm thinking about going to the park later to relax and maybe grab some ice cream.,"I'm vibing with hitting the park later to chill and maybe snag some ice cream, fr.",thinking about going to | relax | grab | cream.,"vibing with hitting | chill | snag | cream, fr.","[(1, 5), (9, 10), (12, 13), (15, 16)]","[(1, 4), (8, 9), (11, 12), (14, 16)]",4
I'm just going to grab a quick snack before I start my homework.,I'm just gonna pop a snack real quick before I dive into homework.,going to grab | snack | start my,gonna pop | snack real | dive into,"[(2, 5), (6, 6), (7, 8), (10, 12)]","[(2, 4), (5, 7), (8, 8), (10, 12)]",3
"Hey, I'm really tired today because I didn't sleep well last night.","Hey, I'm so exhausted today 'cause I didn't catch enough Z's last night.",really tired | because | sleep well,so exhausted | 'cause | catch enough Z's,"[(2, 4), (5, 6), (8, 10)]","[(2, 4), (5, 6), (8, 11)]",3
I just finished my homework and I'm so tired.,"Just wrapped up my homework and I'm totally drained, fr.",I just finished | so tired.,"Just wrapped up | totally drained, fr.","[(0, 3), (7, 9)]","[(0, 3), (7, 10)]",2
I'm just tired and want to chill at home today.,"I'm so drained, just tryna vibe solo at my place today.",tired and want to chill | home,"so drained, | tryna vibe solo | my place","[(1, 1), (2, 7), (8, 9)]","[(1, 3), (4, 7), (8, 10)]",2
I'm just going to grab some coffee before school.,"I'm finna yeet some coffee before class, fr fr.",just going to grab | school.,"finna yeet | class, fr fr.","[(1, 5), (8, 9)]","[(1, 3), (6, 9)]",2
I'm so excited for the concert tonight!,I'm hella stoked for the concert tonight!,so excited,hella stoked,"[(1, 3)]","[(1, 3)]",1
"Hey, I saw a really cool hoodie at the store today.","Yo, I peeped a sick hoodie at the store today, fr fr.","Hey, | saw | really cool | today.","Yo, | peeped | sick | today, fr fr.","[(0, 1), (2, 3), (4, 6), (10, 11)]","[(0, 1), (2, 3), (4, 5), (9, 12)]",4
I'm really excited about hanging out with my friends today.,I'm super hyped to chill with my squad today.,really excited about hanging out | friends,super hyped to chill | squad,"[(1, 6), (8, 9)]","[(1, 5), (7, 8)]",2
"Hey, I'm just relaxing at home and listening to some music.","Yo, I'm just chillin' at my place and vibing to some tunes.","Hey, | relaxing | home | listening | music.","Yo, | chillin' | my place | vibing | tunes.","[(0, 1), (3, 4), (5, 6), (7, 8), (10, 11)]","[(0, 1), (3, 4), (5, 7), (8, 9), (11, 12)]",5
"Hey, I just got back from school and I'm really tired.","Yo, just hit home from school and I'm totally drained, fr.","Hey, I | got back | really tired.","Yo, | hit home | totally drained, fr.","[(0, 2), (3, 5), (9, 11)]","[(0, 1), (2, 4), (8, 11)]",3
I went to the coffee shop this morning to get my favorite latte.,I hit up the coffee spot this morning to snag my fave latte.,went to | shop | get | favorite,hit up | spot | snag | fave,"[(1, 3), (5, 6), (9, 10), (11, 12)]","[(1, 3), (5, 6), (9, 10), (11, 12)]",4
I'll see you at the coffee shop later.,"Catch you at the coffee spot later, fr.",I'll see | shop later.,"Catch | spot later, fr.","[(0, 2), (6, 8)]","[(0, 1), (5, 8)]",2
I'm feeling really tired after studying all night.,I'm totally wiped after grindin’ all night on homework.,feeling really tired | studying | night.,totally wiped | grindin’ | night on homework.,"[(1, 4), (5, 6), (7, 8)]","[(1, 3), (4, 5), (6, 9)]",3
I'm just relaxing and watching some movies today.,I'm just vibing and binge-watching some flicks today.,relaxing | watching | movies,vibing | binge-watching | flicks,"[(2, 3), (4, 5), (6, 7)]","[(2, 3), (4, 5), (6, 7)]",3
I'm really happy that you came to the party yesterday.,I'm mad hyped you pulled up to the party yesterday!,really happy that | came | yesterday.,mad hyped | pulled up | yesterday!,"[(1, 4), (5, 6), (9, 10)]","[(1, 3), (4, 6), (9, 10)]",3
"Hey, I think we should grab some coffee later.","Yo, let’s snag some coffee later, fam.","Hey, I think we should grab | later.","Yo, let’s snag | later, fam.","[(0, 6), (8, 9)]","[(0, 3), (5, 7)]",2
I'm really tired today after staying up all night.,"I'm hella drained ‘cause I stayed up all night, fr fr.",really tired today after staying | night.,"hella drained ‘cause I stayed | night, fr fr.","[(1, 6), (8, 9)]","[(1, 6), (8, 11)]",2
I'm just relaxing at home right now.,I'm just vibing at home rn.,relaxing | right now.,vibing | rn.,"[(2, 3), (5, 7)]","[(2, 3), (5, 6)]",2
I'm heading to the mall to grab some snacks with my friends.,I'm finna hit the mall with my crew to snag some snacks.,heading to | to grab some snacks | friends.,finna hit | crew to snag some snacks.,"[(1, 3), (5, 9), (11, 12)]","[(1, 3), (5, 5), (7, 12)]",3
I'm just trying to get through the day without any drama.,"I'm just vibing through the day without any mess, no cap.",trying to get | drama.,"vibing | mess, no cap.","[(2, 5), (10, 11)]","[(2, 3), (8, 11)]",2
I'm just feeling really tired after a long day at work.,"I'm so wiped after a long shift, fr fr.",just feeling really tired | day at work.,"so wiped | shift, fr fr.","[(1, 5), (8, 11)]","[(1, 3), (6, 9)]",2
"Hey, do you want to hang out later after school?","Yo, wanna kick it after class?","Hey, do you want to hang out later | school?","Yo, wanna kick it | class?","[(0, 8), (9, 10)]","[(0, 4), (5, 6)]",2
"Hey, I’m just going to grab some coffee before work.","Yo, I’m about to hit up some caffeine before clocking in.","Hey, | just going | grab | coffee | work.","Yo, | about | hit up | caffeine | clocking in.","[(0, 1), (2, 4), (5, 6), (7, 8), (9, 10)]","[(0, 1), (2, 3), (4, 6), (7, 8), (9, 11)]",5
"Hey, I just saw that new movie everyone's talking about.","Yo, just peeped that new flick everyone's buzzing about!","Hey, I | saw | movie | talking about.","Yo, | peeped | flick | buzzing about!","[(0, 2), (3, 4), (6, 7), (8, 10)]","[(0, 1), (2, 3), (5, 6), (7, 9)]",4
I'm just hanging out with my friends at the café.,Just vibing with my friends at the spot ✌️,I'm just hanging out | café.,Just vibing | spot ✌️,"[(0, 4), (9, 10)]","[(0, 2), (7, 9)]",2
"Hey, I found a new cafe that's really nice to hang out in.","Yo, I copped a new spot that's mad chill to vibe at.","Hey, | found | cafe | really nice | hang out in.","Yo, | copped | spot | mad chill | vibe at.","[(0, 1), (2, 3), (5, 6), (7, 9), (10, 13)]","[(0, 1), (2, 3), (5, 6), (7, 9), (10, 12)]",5
I'm feeling pretty tired today because I didn't get enough sleep.,"I'm dead tired today 'cause I barely slept, fr fr.",feeling pretty | because | didn't get enough sleep.,"dead | 'cause | barely slept, fr fr.","[(1, 3), (5, 6), (7, 11)]","[(1, 2), (4, 5), (6, 10)]",3
I'm just going to relax and watch some shows tonight.,"I'm vibing at home, binge-watching some shows tonight.",just going to relax and watch,"vibing at home, binge-watching","[(1, 7)]","[(1, 5)]",1
I am really tired today because I didn't sleep well last night.,I'm so dead today 'cause I slept like no cap last night.,am really tired today because I didn't sleep well,I'm so dead today 'cause | slept like no cap,"[(0, 0), (1, 10)]","[(0, 5), (6, 10)]",1
"Hey, do you want to grab something to eat together later?","Yo, you tryna pow wow and grab some grub l8r?","Hey, do | want to | something to eat together later?","Yo, | tryna pow wow and | some grub l8r?","[(0, 2), (3, 5), (6, 11)]","[(0, 1), (2, 6), (7, 10)]",3
"Hey, I just finished my homework and I'm thinking of hanging out with some friends later.","Yo, just wrapped my homework and might chill with the squad later.","Hey, I | finished | I'm thinking of hanging out | some friends","Yo, | wrapped | might chill | the squad","[(0, 2), (3, 4), (7, 12), (13, 15)]","[(0, 1), (2, 3), (6, 8), (9, 11)]",4
"I'm really tired today, I just want to relax and do nothing.","I'm so drained today, just wanna chill and do nada.",really tired | I | want to relax | nothing.,so drained | wanna chill | nada.,"[(1, 3), (4, 5), (6, 9), (11, 12)]","[(1, 3), (4, 4), (5, 7), (9, 10)]",4
I'm just trying to hang out with my friends this weekend.,I’m just tryna vibe with my squad this weekend.,I'm | trying to hang out | friends,I’m | tryna vibe | squad,"[(0, 1), (2, 6), (8, 9)]","[(0, 1), (2, 4), (6, 7)]",3
I'm going to grab some coffee at the café.,"I'm about to hit up the coffee shop, fr fr.",going | grab some | at the café.,"about | hit up the | shop, fr fr.","[(1, 2), (3, 5), (6, 9)]","[(1, 2), (3, 6), (7, 10)]",3
I'm just going to relax at home and watch some Netflix tonight.,I'm just chillin' at home and vibing with some Netflix tonight.,going to relax | watch,chillin' | vibing with,"[(2, 5), (8, 9)]","[(2, 3), (6, 8)]",2
I'm feeling pretty tired today after staying up late last night.,I'm hella drained today ‘cause I stayed up all night smh.,feeling pretty tired | after staying | late last night.,hella drained | ‘cause I stayed | all night smh.,"[(1, 4), (5, 7), (8, 11)]","[(1, 3), (4, 7), (8, 11)]",3
I really like that new song you recommended to me.,"That new bop you dropped on me is lowkey fire, I’m obsessed!",I really like that | song | recommended to me.,"That | bop | dropped on me is lowkey fire, I’m obsessed!","[(0, 4), (5, 6), (7, 10)]","[(0, 1), (2, 3), (4, 12)]",3
"Hey, I just finished my homework and I need a break.","Yo, just wrapped my homework and I need a chill sesh.","Hey, I | finished | break.","Yo, | wrapped | chill sesh.","[(0, 2), (3, 4), (10, 11)]","[(0, 1), (2, 3), (9, 11)]",3
I just got back from shopping and I'm exhausted.,"Just hit the mall, and I’m wiped.",I just got back from shopping | I'm exhausted.,"Just hit the mall, | I’m wiped.","[(0, 6), (7, 9)]","[(0, 4), (5, 7)]",2
I'm just trying to finish my homework before going out with friends.,I'm just tryna wrap up my homework before vibing with friends.,trying to finish | going out,tryna wrap up | vibing,"[(2, 5), (8, 10)]","[(2, 5), (8, 9)]",2
I'm feeling pretty tired today after a long week.,"I'm totally drained after a wild long week, lol.",feeling pretty tired today | week.,"totally drained | wild | week, lol.","[(1, 5), (7, 7), (8, 9)]","[(1, 3), (5, 6), (7, 9)]",2
I'm just taking a walk in the park to relax.,I'm just vibing in the park to chill.,taking a walk | relax.,vibing | chill.,"[(2, 5), (9, 10)]","[(2, 3), (7, 8)]",2
I'm going to grab some lunch with my friends this afternoon.,I'm finna squad up for some lunch with my peeps later.,going to grab | friends this afternoon.,finna squad up for | peeps later.,"[(1, 4), (8, 11)]","[(1, 5), (9, 11)]",2
"Hey, are you free this evening to hang out?","Yo, you chillin’ tonight? Wanna link up?","Hey, are | free this evening to hang out?","Yo, | chillin’ tonight? Wanna link up?","[(0, 2), (3, 9)]","[(0, 1), (2, 7)]",2
"Hey, I really like your new outfit!","Yo, your drip is fire, love it!","Hey, I really like | new outfit!","Yo, | drip is fire, love it!","[(0, 4), (5, 7)]","[(0, 1), (2, 7)]",2
I'm going to grab some coffee with my friend later today.,"Yo, I'm vibing with my homie for some coffee later, fr!",going to grab | with my friend later today.,"Yo, | vibing with my homie for | later, fr!","[(0, 0), (1, 4), (6, 11)]","[(0, 1), (2, 7), (9, 11)]",2
I was just chilling with my friends at the park.,I was just vibin' with my crew at the park.,chilling | friends,vibin' | crew,"[(3, 4), (6, 7)]","[(3, 4), (6, 7)]",2
I'm really tired and just want to stay home today.,I'm deadass exhausted and just wanna chill at home today.,really tired | want to stay,deadass exhausted | wanna chill at,"[(1, 3), (5, 8)]","[(1, 3), (5, 8)]",2
"Hey, I saw you at the park yesterday and you looked really happy.","Yo, saw u at the park yesterday, u looked vibing real hard.","Hey, I | you | yesterday and you | really happy.","Yo, | u | yesterday, u | vibing real hard.","[(0, 2), (3, 4), (7, 10), (11, 13)]","[(0, 1), (2, 3), (6, 8), (9, 12)]",4
I'm really tired after a long day and just want to relax.,I'm totally drained after a long day and just wanna chill.,really tired | want to relax.,totally drained | wanna chill.,"[(1, 3), (9, 12)]","[(1, 3), (9, 11)]",2
I went to the park yesterday and saw a lot of people having fun.,I hit up the park yesterday and saw a bunch of peeps vibing and having a good time.,went to | lot | people | fun.,hit up | bunch | peeps vibing and | a good time.,"[(1, 3), (9, 10), (11, 12), (13, 14)]","[(1, 3), (9, 10), (11, 14), (15, 18)]",4
I'm thinking of grabbing some coffee before work.,"Gonna snag a coffee before clockin' in, lol.",I'm thinking of grabbing some | work.,"Gonna snag a | clockin' in, lol.","[(0, 5), (7, 8)]","[(0, 3), (5, 8)]",2
I'm just going to grab some coffee and then go home and relax.,Just finna get some coffee and then dip home to chill. ✌️,I'm just going to grab | go | and relax.,Just finna get | dip | to chill. ✌️,"[(0, 5), (9, 10), (11, 13)]","[(0, 3), (7, 8), (9, 12)]",3
I'm just ready to relax and watch some movies tonight.,I'm just vibing to chill and binge some movies tonight.,ready | relax | watch,vibing | chill | binge,"[(2, 3), (4, 5), (6, 7)]","[(2, 3), (4, 5), (6, 7)]",3
I'm really tired after walking around the mall all afternoon.,"I'm so drained 'cause I spent the whole day roaming the mall, lol.",really tired after walking around | mall all afternoon.,"so drained 'cause I spent | whole day roaming the mall, lol.","[(1, 6), (7, 10)]","[(1, 6), (7, 13)]",2
