normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"The hand kills her and she is forced to kill it , which also attacks the sale .","The hand kills them and she is forced to kill her , which also attacks the sale .",her | it,them | her,"[(3, 4), (10, 11)]","[(3, 4), (10, 11)]",2
He lives with a single and `` humble '' ambition : to master the world ( the whole planet ) .,He lives with a humble and single ambition : to dominate the world ( the whole planet ) .,single and `` | '' | master,and single | dominate,"[(4, 7), (8, 9), (12, 13)]","[(5, 7), (10, 11)]",2
The last years of his life he spent in France and died in Paris .,He spent the final years of his life in France and died in Paris .,The last | he spent,He spent the final,"[(0, 2), (6, 8)]","[(0, 4)]",1
The names '' Googol `` and '' Googolplex `` were invented by Newman 's nephew Milton Sirotta and introduced to the book of Kasner and Edward Kasner in 1940 .,"The names `` googol '' and `` googolplex '' were invented by Newman 's nephew , Milton Sirotta , and introduced in Kasner and Edward Kasner 's 1940 book .",'' Googol | and | Googolplex | to the book of | in,"googol | and | googolplex '' | , | , | in | 's | book","[(2, 4), (5, 6), (7, 8), (19, 23), (27, 28)]","[(3, 4), (5, 6), (7, 9), (15, 16), (18, 19), (21, 22), (26, 27), (28, 29)]",8
"Chongming is the only county in Shanghai north of the Shanghai Peninsula on three inhabited Yangtze islands - Chongming , Changxing and Hengsha .","Chongming is Shanghai 's only county and lies north of the Shanghai Peninsula on three inhabited islands in the Yangtze estuary : Chongming , Changxing , and Hengsha .",the | in Shanghai | Yangtze | -,"Shanghai 's | and lies | in the Yangtze estuary : | ,","[(2, 3), (5, 7), (15, 16), (17, 18)]","[(2, 4), (6, 8), (17, 22), (25, 26)]",4
"McBride for his band , Christian McBride `` Inside Straight recruited .","Allen recruited McBride for his band , Christian McBride & Inside Straight .",`` | recruited,Allen recruited | &,"[(7, 8), (10, 11)]","[(0, 2), (9, 10)]",2
The first was a four track studio session and the second six tracks recorded at the Reading Festival .,The first was a four lane studio session and the second six tracks at the Reading Festival .,track | recorded,lane,"[(5, 6), (13, 14)]","[(5, 6)]",1
A brief biography and short summaries of Brodsky 's long fiction and critical reception can be found here :,"A short biography , and brief summaries of Brodsky 's longer fiction and critical reception can be found here :",brief biography and | long,"biography , and brief | longer","[(1, 4), (9, 10)]","[(2, 6), (10, 11)]",2
"Asia Argento ( ; born Aria Maria Vittoria Rossa Argento ; 20 September 1975 ) is an Italian actress , singer , model , activist and director .","Argento ( born September 20 , 1975 in Argento , Aria Maria Vittoria Rossa Argento ) is an Italian actress , singer , model , activist and director .",Asia | ; | ; 20 September 1975,"September 20 , 1975 in Argento ,","[(0, 1), (3, 4), (10, 14)]","[(3, 10)]",1
"In the fourth novel `` Dead to the World '' , he is repeatedly bitten by a Werepanther and becomes a kidnapped and bitten Werepanther .","In the fourth novel , `` Dead to the World '' , he is bitten repeatedly by a werepanther and becomes a kidnapped and bitten werepanther .",repeatedly | Werepanther | Werepanther,", | repeatedly | werepanther | werepanther","[(13, 14), (17, 18), (24, 25)]","[(4, 5), (15, 16), (18, 19), (25, 26)]",4
"The station is located next to the Kintetsu Nagoya line , the Nagoya Railroad terminal , and the Kintetsu Nagoya Station , the terminal of Meitetsu Nagoya Station .","The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .",located next | the | line | terminal | the,adjacent | Line | the terminal of | the,"[(3, 5), (6, 7), (9, 10), (14, 15), (17, 18)]","[(3, 4), (7, 8), (9, 12), (24, 25)]",4
There are two pumping stations located outside of the city limits and part of the water service provided to Toronto by York Region :,There are two pumping stations outside the city limits and a part of the water service provided by York to Toronto :,located | of | to Toronto | Region,a | to Toronto,"[(5, 6), (7, 8), (18, 20), (22, 23)]","[(10, 11), (19, 21)]",2
"Recently a whole issue of the beautiful Sicilian journal of musical cultures , `` Avidi Lumi '' , was dedicated to Davide Perez .","A whole issue of the beautiful Sicilian magazine of musical cultures , `` Avidi Lumi '' , was recently dedicated to Davide Perez .",Recently a | journal,A | magazine | recently,"[(0, 2), (8, 9)]","[(0, 1), (7, 8), (18, 19)]",3
"`` Pantheon and other role-playing games '' included a total of five different storytelling games or five different competitive scenarios , as they all use the same '' narrative `` .","`` Pantheon and Other Roleplaying Games '' included a total of five different storytelling games or five different competitive scenarios , as they all use the same `` Narrative '' .",other role-playing games | '' narrative,Other Roleplaying Games | Narrative '',"[(3, 6), (27, 29)]","[(3, 6), (28, 30)]",2
One important distinction though is clear .,"One important distinction is clear , though .",though,", though","[(3, 4)]","[(5, 7)]",1
"They had five children alongside Quintin : Lucy , Phillip , Juan , Patrick and Willie .","They had five children besides Quintin : Juan , Phillip , Willie , Patrick and Lucy .",alongside | Lucy | Juan | Willie,besides | Juan | Willie | Lucy,"[(4, 5), (7, 8), (11, 12), (15, 16)]","[(4, 5), (7, 8), (11, 12), (15, 16)]",4
"Melesio Morales ( sometimes spelled Melisio Morales ) ( December 4 , 1838 -- May 12 , 1908 ) was a Mexican composer .",Melesio Morales ( sometimes written Melisio Morales ) ( 4 December 1838 - 12 May 1908 ) was a Mexican composer .,"spelled | December | , | -- May | ,",written | December | - | May,"[(4, 5), (9, 10), (11, 12), (13, 15), (16, 17)]","[(4, 5), (10, 11), (12, 13), (14, 15)]",4
"Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 44 Wigmore Street in London .","William Debenham , born in Alpheton , Suffolk in 1794 , joined Thomas Clark in a partnership to lead a draper 's store at Wigmore Street 44 in London .","Born in 1794 in Alpheton in Suffolk , | manage | 44",", born in Alpheton , Suffolk in 1794 , | lead | 44","[(0, 8), (17, 18), (23, 24)]","[(2, 11), (18, 19), (26, 27)]",3
"The village is located 33 miles northeast of Solon Springs , 42 miles south of the city of Superior and 14 miles southwest of Danbury .","The community is located 33 miles northeast of Solon Springs ; 42 miles south of the city of Superior , and 14 miles southwest of Danbury .","village | ,","community | ; | ,","[(1, 2), (10, 11)]","[(1, 2), (10, 11), (19, 20)]",3
It was abandoned in 1446 and destroyed in 1551 and rebuilt .,"It was abandoned in 1446 , and destroyed and rebuilt in 1551 .",in 1551,", | in 1551","[(7, 9)]","[(5, 6), (10, 12)]",2
As a child Beatrice Campbell met Edie Martyn ( Jonathan Dakers ) .,"As a child , Beatrice met Campbell on Edie Martyn ( Jonathan Dakers ) .",Campbell,", | Campbell on","[(4, 5)]","[(3, 4), (6, 8)]",2
Mount Darwin ( alternatively : Darwin ) is one of seven districts in the province of Mashonaland Central in Zimbabwe .,Mount Darwin ( alternate : Darwin ) is one of seven districts in the Zimbabwe province of Mashonaland Central .,alternatively | in Zimbabwe,alternate | Zimbabwe,"[(3, 4), (18, 20)]","[(3, 4), (14, 15)]",2
"As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP honors .","As a senior in 2003 , he rushed for 1,070 yards and threw for 1,291 to earn District 18-4A MVP awards .",honors,awards,"[(20, 21)]","[(20, 21)]",1
Her series of illustrated crossword puzzles for children was published in several newspapers in 1925 .,In 1925 her series of illustrated crossword puzzles for children was syndicated in several newspapers .,Her | published | in 1925,In 1925 her | syndicated,"[(0, 1), (9, 10), (13, 15)]","[(0, 3), (11, 12)]",2
"The central part of the Nescopeck Creek watershed , south of the northernmost line of hills , including the mouth of Black Creek , is also in this range .","The central part of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is also in this series .",watershed | line of hills | range,watershed of | hill | series,"[(7, 8), (13, 16), (28, 29)]","[(5, 7), (14, 15), (27, 28)]",3
"He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born in 1952 ) .","Potter married in 1945 . He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .",in,Potter married in 1945 .,"[(22, 23)]","[(0, 5)]",1
"Hard Candy is the fourth studio album by Counting Crows , released in the United States on June 7 , 2002 and the following day in the United Kingdom .","Hard Candy is the fourth studio album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .",released,published,"[(11, 12)]","[(11, 12)]",1
"The white endocarp of the mangosteen has the same shape and size as a tangerine in diameter , but is edible .","The white endocarp of mangosteen has the same shape and size in diameter as a mandarin , but is edible .",the | as a tangerine,as a mandarin,"[(4, 5), (12, 15)]","[(13, 16)]",1
"Its signal covers Cundinamarca , Boyacá , Tolima , Huila , Casanare , Meta , Vichada , Arauca , Caquetá , Guaviare , Vaupés , Amazon and Putumayo .","Its signal covers Cundinamarca , Boyacá , Tolima , Amazonas , Meta , Huila , Casanare , Caquetá , Guaviare , Vaupés , Vichada , Arauca , and Putumayo .","Huila , Casanare | Vichada | Arauca | Amazon","Amazonas | Huila | Casanare | Vichada , Arauca ,","[(9, 12), (15, 16), (17, 18), (25, 26)]","[(9, 10), (13, 14), (15, 16), (23, 27)]",4
"Parallax captured John Stewart , Guy Gardner , and Hal Jordan in Kyle ’ s body and brought them to Qward .","In Kyle 's body , Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .",in Kyle ’ s body,"In Kyle 's body ,","[(11, 16)]","[(0, 5)]",1
"Matt Fishel also created the entire artwork for Phillips ’ apos ; debut album `` Not Thinking Straight '' , which was released on Young Lust Records in April 2013 .","Matt Fishel also created all the artwork for Phillips 's debut album , `` Not Thinking Straight '' , which was released in April 2013 on Young Lust Records .",entire | ’ apos ; | in April 2013,"all | 's | , | in April 2013","[(5, 6), (9, 12), (27, 30)]","[(4, 5), (9, 10), (12, 13), (22, 25)]",4
"Two weeks before the invasion , the corps was pulled out of the First Army and placed in Omar Bradley 's Third Army .","Two weeks before the invasion , the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .",out of | Omar Bradley 's,from | the | of Omar Bradley,"[(10, 12), (18, 21)]","[(10, 11), (17, 18), (20, 23)]",3
"He joined the Canadian Fencibles in Quebec in 1803 , and joined them in 1805 to Scotland .",He joined the Canadian Fencibles in Quebec in 1803 and came to Scotland with them in 1805 .,", | joined | to Scotland",came to Scotland with,"[(9, 10), (11, 12), (15, 17)]","[(10, 14)]",1
"Other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems , and Junaid .","The other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .","Other | ,",The other,"[(0, 1), (26, 27)]","[(0, 2)]",1
"It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the city of Samara .","It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .",city,town,"[(18, 19)]","[(18, 19)]",1
"During the Victorian era , Victorian flowers had different meanings . Love-lies-bleeding stood for hopeless love or hopelessness in the specific language of flowers .","During the Victorian era , Victorian flowers had different meanings : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .",. Love-lies-bleeding,: love - bleeding | the,"[(10, 12)]","[(10, 14), (25, 26)]",2
