term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
alishia,the definition of beauty,Have you dealt with alishia before?,Have you dealt with the definition of beauty before?,alishia,the definition of beauty,4,"[(4, 5)]","[(4, 8)]"
dilhole,a phrase coined by the tv show beavis and butthead a complete and total moron or idiot,This is textbook dilhole.,This is a textbook case of a phrase coined by the tv show beavis and butthead a complete and total moron or idiot.,dilhole,a | case of a phrase coined by the tv show beavis and butthead a complete and total moron or idiot.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 23)]"
nerp,"""variation of ""nope"" which is slang for ""no""",We've reached peak nerp.,"We've reached peak variation of ""nope"" which is slang for ""no.",nerp,"variation of ""nope"" which is slang for ""no.",3,"[(3, 4)]","[(3, 11)]"
faptop,a laptop solely used for [fap]ping,The faptop was unbearable.,The a laptop solely used for [fap]ping was unbearable.,faptop,a laptop solely used for [fap]ping,1,"[(1, 2)]","[(1, 7)]"
bmwism,the worship of bmws,Nobody warned me about bmwism.,Nobody warned me about the worship of bmws.,bmwism,the worship of bmws.,4,"[(4, 5)]","[(4, 8)]"
diaz'd,to drink until blackout drunk and usually involves vomiting!,I get diaz'd around 3 PM.,I get to drink until blackout drunk and usually involves vomiting! around 3 PM.,diaz'd,to drink until blackout drunk and usually involves vomiting!,2,"[(2, 3)]","[(2, 11)]"
blumf,big lipped ugly mother fucker,Have you dealt with blumf before?,Have you dealt with big lipped ugly mother fucker before?,blumf,big lipped ugly mother fucker,4,"[(4, 5)]","[(4, 9)]"
blizzy,blunt,This is textbook blizzy.,This is a textbook case of blunt.,blizzy,a | case of blunt.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 7)]"
ambiwlans,"ambiwlans is welsh for ambulance, and is written on all ambulance vehicles in the welsh ambulance nhs trust",We've reached peak ambiwlans.,"We've reached peak ambiwlans is welsh for ambulance, and is written on all ambulance vehicles in the welsh ambulance nhs trust.",ambiwlans,"ambiwlans is welsh for ambulance, and is written on all ambulance vehicles in the welsh ambulance nhs trust.",3,"[(3, 4)]","[(3, 21)]"
gayrope,'europe' as it called by the russians who support putin's policy,The gayrope was unbearable.,The europe' as it called by the russians who support putin's policy was unbearable.,gayrope,europe' as it called by the russians who support putin's policy,1,"[(1, 2)]","[(1, 12)]"
bumbai,later,Nobody warned me about bumbai.,Nobody warned me about later.,bumbai,later.,4,"[(4, 5)]","[(4, 5)]"
bonetactile,"noun, verb: handjob, hand job, to bring one to orgasm by means of hands only",I can't handle this bonetactile anymore.,"I can't handle this situation of noun, verb: handjob, hand job, to bring one to orgasm by means of hands only anymore.",bonetactile,"situation of noun, verb: handjob, hand job, to bring one to orgasm by means of hands only",4,"[(4, 5)]","[(4, 21)]"
bonechilada,"erect penis, wrapped in a tortilla and offered for sex",Have you dealt with bonechilada before?,"Have you dealt with erect penis, wrapped in a tortilla and offered for sex before?",bonechilada,"erect penis, wrapped in a tortilla and offered for sex",4,"[(4, 5)]","[(4, 14)]"
caffer,often said by racist white south african males towards black south african males,This is textbook caffer.,This is a textbook case of often said by racist white south african males towards black south african males.,caffer,a | case of often said by racist white south african males towards black south african males.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 19)]"
bunnin,in london this means to blaze (smoke weed),We've reached peak bunnin.,We've reached peak in london this means to blaze (smoke weed).,bunnin,in london this means to blaze (smoke weed).,3,"[(3, 4)]","[(3, 11)]"
geah,"""a term used my rapper mc eiht used instead of saying ""yeah""""",The geah was unbearable.,"The a term used my rapper mc eiht used instead of saying ""yeah was unbearable.",geah,"a term used my rapper mc eiht used instead of saying ""yeah",1,"[(1, 2)]","[(1, 13)]"
barlw,"""a typo of ""brawl"", as in super smash bros",Nobody warned me about barlw.,"Nobody warned me about a typo of ""brawl"", as in super smash bros.",barlw,"a typo of ""brawl"", as in super smash bros.",4,"[(4, 5)]","[(4, 13)]"
bakchodi,hindi slang for gossip,I can't handle this bakchodi anymore.,I can't handle this situation of hindi slang for gossip anymore.,bakchodi,situation of hindi slang for gossip,4,"[(4, 5)]","[(4, 10)]"
chodie,chodie is a female that goes by the name of kodie that has a chode,Have you dealt with chodie before?,Have you dealt with chodie is a female that goes by the name of kodie that has a chode before?,chodie,is a female that goes by the name of kodie that has a chode,4,"[(5, 5)]","[(5, 19)]"
dangus,it can mean anything you want it to mean,This is textbook dangus.,This is a textbook case of it can mean anything you want it to mean.,dangus,a | case of it can mean anything you want it to mean.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 15)]"
jewkkake,to squirt on someone's face with a clean-cut circumcised penis,We've reached peak jewkkake.,We've reached peak to squirt on someone's face with a clean-cut circumcised penis.,jewkkake,to squirt on someone's face with a clean-cut circumcised penis.,3,"[(3, 4)]","[(3, 13)]"
clatty,glasgow slang for extremely dirty or slovenly,The clatty was unbearable.,The glasgow slang for extremely dirty or slovenly was unbearable.,clatty,glasgow slang for extremely dirty or slovenly,1,"[(1, 2)]","[(1, 8)]"
afterbang,the landing of any trick on skis with what appears to be extreme steeze,Nobody warned me about afterbang.,Nobody warned me about the landing of any trick on skis with what appears to be extreme steeze.,afterbang,the landing of any trick on skis with what appears to be extreme steeze.,4,"[(4, 5)]","[(4, 18)]"
creotard,a contraction of [creationist] and retard,I can't handle this creotard anymore.,I can't handle this situation of a contraction of [creationist] and retard anymore.,creotard,situation of a contraction of [creationist] and retard,4,"[(4, 5)]","[(4, 12)]"
dicklick,someone who is annoying or immature who also happens to like dick,Don't be a dicklick.,Don't be someone who is annoying or immature who also happens to like dick.,dicklick,someone who is annoying or immature who also happens to like dick.,3,"[(2, 4)]","[(2, 14)]"
cunnerman,"""a derogatory term for a dirty person",This is textbook cunnerman.,This is a textbook case of a derogatory term for a dirty person.,cunnerman,a | case of a derogatory term for a dirty person.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
expresshole,a shopper at a supermarket/ store that checks out at the express line when they clearly have more items than the maximum,We've reached peak expresshole.,We've reached peak a shopper at a supermarket/ store that checks out at the express line when they clearly have more items than the maximum.,expresshole,a shopper at a supermarket/ store that checks out at the express line when they clearly have more items than the maximum.,3,"[(3, 4)]","[(3, 25)]"
atelophobia,"the fear of imperfection, of not being good enough",Does your atelophobia ever get better?,"Does your fear of the imperfection, of not being good enough ever get better?",atelophobia,"fear of the imperfection, of not being good enough",2,"[(2, 3)]","[(2, 11)]"
jizzum,"sweet secretion from the male reproductive ogran used in college games, cooking and facial art",Nobody warned me about jizzum.,"Nobody warned me about sweet secretion from the male reproductive ogran used in college games, cooking and facial art.",jizzum,"sweet secretion from the male reproductive ogran used in college games, cooking and facial art.",4,"[(4, 5)]","[(4, 19)]"
loosy,a single smoke,I can't handle this loosy anymore.,I can't handle this situation of a single smoke anymore.,loosy,situation of a single smoke,4,"[(4, 5)]","[(4, 9)]"
brolick,displaying great strength,Have you dealt with brolick before?,Have you dealt with displaying great strength before?,brolick,displaying great strength,4,"[(4, 5)]","[(4, 7)]"
bofl,burst out fucking laughing,This is textbook bofl.,This is a textbook case of burst out fucking laughing.,bofl,a | case of burst out fucking laughing.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 10)]"
filmfights,the best and only weekly online filmfestival,We've reached peak filmfights.,We've reached peak the best and only weekly online filmfestival.,filmfights,the best and only weekly online filmfestival.,3,"[(3, 4)]","[(3, 10)]"
buschette,"someone who abuses alcohol, drugs, and other substances at the expense of someone else",My coworker is such a buschette.,"My coworker is someone who abuses alcohol, drugs, and other substances at the expense of someone else.",buschette,"someone who abuses alcohol, drugs, and other substances at the expense of someone else.",5,"[(3, 6)]","[(3, 17)]"
snatchlasticity,the tightness of a woman's vagina,Nobody warned me about snatchlasticity.,Nobody warned me about the tightness of a woman's vagina.,snatchlasticity,the tightness of a woman's vagina.,4,"[(4, 5)]","[(4, 10)]"
tatertot,a super high guy,I get tatertot around 3 PM.,I get a super high guy around 3 PM.,tatertot,a super high guy,2,"[(2, 3)]","[(2, 6)]"
bankx,a girl who has her act together,Have you dealt with bankx before?,Have you dealt with a girl who has her act together before?,bankx,a girl who has her act together,4,"[(4, 5)]","[(4, 11)]"
elephanting,the act of putting your hand behind your back in between your legs and jacking off,The art of elephanting takes practice.,The art of putting your hand behind your back in between your legs and jacking off takes practice.,elephanting,putting your hand behind your back in between your legs and jacking off,3,"[(3, 4)]","[(3, 16)]"
badok,badok is a traditional martial arts uniform worn by [jendo] practitioners,We've reached peak badok.,We've reached peak badok is a traditional martial arts uniform worn by [jendo] practitioners.,badok,badok is a traditional martial arts uniform worn by [jendo] practitioners.,3,"[(3, 4)]","[(3, 14)]"
bukkaka,a japanese sexual rite of passage where a woman gets splished with lots of spooge from men all doing what it takes to release it,The bukkaka was unbearable.,The a japanese sexual rite of passage where a woman gets splished with lots of spooge from men all doing what it takes to release it was unbearable.,bukkaka,a japanese sexual rite of passage where a woman gets splished with lots of spooge from men all doing what it takes to release it,1,"[(1, 2)]","[(1, 26)]"
nicca,slang for the slang word nigga,Nobody warned me about nicca.,Nobody warned me about slang for the slang word nigga.,nicca,slang for the slang word nigga.,4,"[(4, 5)]","[(4, 10)]"
allosexual,allosexual is a term used most commonly in the asexual community to refer to someone who is not asexual,My coworker is such a allosexual.,My coworker is someone who allosexual is a term used most commonly in the asexual community to refer to someone who is not asexual.,allosexual,someone who allosexual is | term used most commonly in the asexual community to refer to someone who is not asexual.,5,"[(3, 4), (5, 6)]","[(3, 7), (8, 24)]"
