normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"However , the Georgian language uses the singular form when the quantity is specified , so in practice the plural of `` tetri '' is just `` tetri . ''","However , the Georgian language uses the singular form when the quantity is specified , so in practice the plural of `` tetri '' is just `` tetri . ''",so,so,"[(15, 16)]","[(15, 16)]",0
"It was located around a pond in Tokunoshima of Isen Town , after which `` kamuiyaki '' was named .","It was located around a pond in Tokunoshima of Isen Town , after which `` kamuiyaki '' was named .",Town,Town,"[(10, 11)]","[(10, 11)]",0
"Sir James married John Nairne Forman in 1872 ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .","Sir James married John Nairne Forman in 1872 ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .",1929,1929,"[(12, 13)]","[(12, 13)]",0
Vonberg studied at Imperial College then joined the Cavendish Laboratory in 1945 where he worked with Martin Ryle .,Vonberg studied at Imperial College then joined the Cavendish Laboratory in 1945 where he worked with Martin Ryle .,Laboratory,Laboratory,"[(9, 10)]","[(9, 10)]",0
William Wilberforce Nadiope succeeded the late Sir Muloki as Kyabazinga .,William Wilberforce Nadiope succeeded the late Sir Muloki as Kyabazinga .,late,late,"[(5, 6)]","[(5, 6)]",0
"WORHP , also referred to by ESA as eNLP ( European NLP Solver ) , is a non-linear software library for numerically solving continuous mathematical optimization problems .","WORHP , also referred to by ESA as eNLP ( European NLP Solver ) , is a non-linear software library for numerically solving continuous mathematical optimization problems .",",",",","[(14, 15)]","[(14, 15)]",0
"Traditionally , Ristretto , a short shot of espresso is extracted with the normal amount of ground coffee , but produced with about half of the quantity of water .","Traditionally , Ristretto , a short shot of espresso is extracted with the normal amount of ground coffee , but produced with about half of the quantity of water .",of,of,"[(15, 16)]","[(15, 16)]",0
"The first amber tournament was held in Monaco in 2011 , as were the 20th Amber Tournament .","The first amber tournament was held in Monaco in 2011 , as were the 20th Amber Tournament .",2011,2011,"[(9, 10)]","[(9, 10)]",0
He moved to Ottawa and settled down in Illinois in 1891 .,He moved to Ottawa and settled down in Illinois in 1891 .,down,down,"[(6, 7)]","[(6, 7)]",0
"The team has played teams in recent years such as Iowa , Rutgers , Hawaii , State of Mississippi , Nebraska , Connecticut , Syracuse and Pittsburgh in 2011 .","The team has played teams in recent years such as Iowa , Rutgers , Hawaii , State of Mississippi , Nebraska , Connecticut , Syracuse and Pittsburgh in 2011 .",",",",","[(15, 16)]","[(15, 16)]",0
"Prahlad Kakar grew up in Pakistan , and his father was an army colonel in Mumbai .","Prahlad Kakar grew up in Pakistan , and his father was an army colonel in Mumbai .",his,his,"[(8, 9)]","[(8, 9)]",0
"Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was the son of a cemindary in the Basirhat area .","Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was the son of a cemindary in the Basirhat area .",Chandra,Chandra,"[(13, 14)]","[(13, 14)]",0
"Robert Boyd was the son of Alexander , Lord Boyd .","Robert Boyd was the son of Alexander , Lord Boyd .",of,of,"[(5, 6)]","[(5, 6)]",0
"He wrote the script in cooperation with Bianca Olsen , Laurie Aubanel and Cyril Rambour .","He wrote the script in cooperation with Bianca Olsen , Laurie Aubanel and Cyril Rambour .",Olsen,Olsen,"[(8, 9)]","[(8, 9)]",0
"The first cosmonaut was the Soviet air force pilot Yuri Gagarin , also the first person in space .","The first cosmonaut was the Soviet air force pilot Yuri Gagarin , also the first person in space .",Yuri,Yuri,"[(9, 10)]","[(9, 10)]",0
"Born in Hartford , Wisconsin , Barney attended public schools and Lombard College , Galesburg , Illinois .","Born in Hartford , Wisconsin , Barney attended public schools and Lombard College , Galesburg , Illinois .",schools,schools,"[(9, 10)]","[(9, 10)]",0
"John M. Work was born January 3 , 1869 , in rural Washington County in Southeastern Iowa , the son of John H. Work , a farmer .","John M. Work was born January 3 , 1869 , in rural Washington County in Southeastern Iowa , the son of John H. Work , a farmer .",in,in,"[(14, 15)]","[(14, 15)]",0
"Ruben Aganbegyan ( ; b . 1972 , Novosibirsk ) is a Russian economist , the President of Micex . Son of the famous Soviet economist Abel Aganbegyan .","Ruben Aganbegyan ( ; b . 1972 , Novosibirsk ) is a Russian economist , the President of Micex . Son of the famous Soviet economist Abel Aganbegyan .",",",",","[(14, 15)]","[(14, 15)]",0
"It is found in Croatia , Bosnia and Herzegovina , Serbia and Montenegro , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .","It is found in Croatia , Bosnia and Herzegovina , Serbia and Montenegro , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .",Republic,Republic,"[(15, 16)]","[(15, 16)]",0
The wingspan is . The moth flies from July to August depending on the location .,The wingspan is . The moth flies from July to August depending on the location .,July,July,"[(8, 9)]","[(8, 9)]",0
The total number of electrons and electron density is much greater than in the positive corona in question .,The total number of electrons and electron density is much greater than in the positive corona in question .,much,much,"[(9, 10)]","[(9, 10)]",0
"In 1976 Peraza was Miss Venezuela , but she resigned on 24 May 1976 because she married two days after her crowning .","In 1976 Peraza was Miss Venezuela , but she resigned on 24 May 1976 because she married two days after her crowning .",24,24,"[(11, 12)]","[(11, 12)]",0
"He was also suspected of having bludgeoned to death a Russian dancer , Anya Sosoyeva , as well as having assaulted the young actress Delia Bogard , who survived .","He was also suspected of having bludgeoned to death a Russian dancer , Anya Sosoyeva , as well as having assaulted the young actress Delia Bogard , who survived .",",",",","[(15, 16)]","[(15, 16)]",0
Kawahigashi Station is served by the Suigun Line and is located 122.2 km from the official starting point of the line at Mito Station .,Kawahigashi Station is served by the Suigun Line and is located 122.2 km from the official starting point of the line at Mito Station .,km,km,"[(12, 13)]","[(12, 13)]",0
"Face of Evil is a 1996 TV movie with Jeanelle Polk as Shawnee Smith , Perry King as Russell Polk and Darcy Palmer as his daughter Tracey Gold .","Face of Evil is a 1996 TV movie with Jeanelle Polk as Shawnee Smith , Perry King as Russell Polk and Darcy Palmer as his daughter Tracey Gold .",",",",","[(14, 15)]","[(14, 15)]",0
"Stevens was a Republican when the party was founded , and became a Delegate to the Republican National Conventions in 1860 and 1868 .","Stevens was a Republican when the party was founded , and became a Delegate to the Republican National Conventions in 1860 and 1868 .",a,a,"[(12, 13)]","[(12, 13)]",0
"Giuseppe Anatrelli ( 3 January 1925 - 29 November 1981 ) , also known as Geppino Anatrelli , was an Italian film , stage and television actor .","Giuseppe Anatrelli ( 3 January 1925 - 29 November 1981 ) , also known as Geppino Anatrelli , was an Italian film , stage and television actor .",as,as,"[(14, 15)]","[(14, 15)]",0
"The show was broadcast on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .","The show was broadcast on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .",$,$,"[(11, 12)]","[(11, 12)]",0
"Creswell is served by the daily Roanoke Beacon from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .","Creswell is served by the daily Roanoke Beacon from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .",",",",","[(12, 13)]","[(12, 13)]",0
"The same year , he was appointed Vicar General for the Quebec region of the Diocese of Mississippi and Illinois .","The same year , he was appointed Vicar General for the Quebec region of the Diocese of Mississippi and Illinois .",the,the,"[(10, 11)]","[(10, 11)]",0
"However , the new algorithm would divide the original interval in step 4 into a larger and a smaller partial interval .","However , the new algorithm would divide the original interval in step 4 into a larger and a smaller partial interval .",step,step,"[(11, 12)]","[(11, 12)]",0
All of these will have half the symmetry ( double the regular domain sizes ) of the fundamental apeirogon .,All of these will have half the symmetry ( double the regular domain sizes ) of the fundamental apeirogon .,the,the,"[(10, 11)]","[(10, 11)]",0
"In collaboration with Cyril Rambour , Laurie Aubanel and Bianca Olsen , he wrote the script .","In collaboration with Cyril Rambour , Laurie Aubanel and Bianca Olsen , he wrote the script .",and,and,"[(8, 9)]","[(8, 9)]",0
"In August 1927 , shortly after her engagement with the Berlin jurist and later Hamburg senator Gerhard Kramer ( 1904 -- 1973 ) , Pool moved to Berlin .","In August 1927 , shortly after her engagement with the Berlin jurist and later Hamburg senator Gerhard Kramer ( 1904 -- 1973 ) , Pool moved to Berlin .",Hamburg,Hamburg,"[(14, 15)]","[(14, 15)]",0
"He died in 1879 in Oxford , Idaho . Jefferson Hunt is buried at the Red Rock Cemetery in Bannock County , Idaho , US .","He died in 1879 in Oxford , Idaho . Jefferson Hunt is buried at the Red Rock Cemetery in Bannock County , Idaho , US .",at,at,"[(13, 14)]","[(13, 14)]",0
The Dublin Council of Unions is the Trade Union Council for the Dublin County in Ireland .,The Dublin Council of Unions is the Trade Union Council for the Dublin County in Ireland .,Union,Union,"[(8, 9)]","[(8, 9)]",0
Axocomanitla is a municipality in south-eastern Tlaxcala in Mexico .,Axocomanitla is a municipality in south-eastern Tlaxcala in Mexico .,south-eastern,south-eastern,"[(5, 6)]","[(5, 6)]",0
"For Amtrak service the nearest stations are West in Framingham , east of Boston at Back Bay and South Station and south in Route 128 station in Westwood .","For Amtrak service the nearest stations are West in Framingham , east of Boston at Back Bay and South Station and south in Route 128 station in Westwood .",at,at,"[(14, 15)]","[(14, 15)]",0
"In order to limit the number of seats won by the Communists and the Gaullists , an electoral reform was passed .","In order to limit the number of seats won by the Communists and the Gaullists , an electoral reform was passed .",Communists,Communists,"[(11, 12)]","[(11, 12)]",0
"Band moves to Williamsburg , Brooklyn ( NY ) .","Band moves to Williamsburg , Brooklyn ( NY ) .",Brooklyn,Brooklyn,"[(5, 6)]","[(5, 6)]",0
"The character of Holden Ford is based on FBI - Agent John E. Douglas , and Bill Tench is based on the ground-breaking FBI agent Robert K. Ressler .","The character of Holden Ford is based on FBI - Agent John E. Douglas , and Bill Tench is based on the ground-breaking FBI agent Robert K. Ressler .",",",",","[(14, 15)]","[(14, 15)]",0
"Polali is a village in Bantwal taluk , in the Dakshina Kannada ( South Canara ) district of Karnataka state in India .","Polali is a village in Bantwal taluk , in the Dakshina Kannada ( South Canara ) district of Karnataka state in India .",Kannada,Kannada,"[(11, 12)]","[(11, 12)]",0
"It was first recorded in November 1961 by Allen Toussaint , and produced by Irma Thomas .","It was first recorded in November 1961 by Allen Toussaint , and produced by Irma Thomas .",Allen,Allen,"[(8, 9)]","[(8, 9)]",0
"During that time , Cousin also played as a session musician on two songs by Mice , a band of Regan , which existed between 1995 and 1997 .","During that time , Cousin also played as a session musician on two songs by Mice , a band of Regan , which existed between 1995 and 1997 .",by,by,"[(14, 15)]","[(14, 15)]",0
